left_arrow,right_arrow,empty,middle,corrAns,condition,blockfile,dummy_trial.thisRepN,dummy_trial.thisTrialN,dummy_trial.thisN,dummy_trial.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,blockn.thisRepN,blockn.thisTrialN,blockn.thisN,blockn.thisIndex,thisRow.t,notes,JS_code.started,JS_code.stopped,instruction_1.started,wecomle_resp.started,instruction_1.stopped,instruction_2.started,text.started,image_8.started,image_9.started,image_10.started,sound_2.started,key_resp_10.started,instruction_2.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,instruction_2_1.started,image_11.started,image_12.started,image_13.started,text_5.started,sound_3.started,key_resp_5.started,image_24.started,image_12.stopped,instruction_2_1.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,instruction_2_2.started,image_14.started,image_15.started,image_16.started,text_6.started,sound_4.started,key_resp_6.started,instruction_2_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,instruction_2_3.started,image_17.started,image_18.started,image_19.started,text_7.started,sound_5.started,key_resp_7.started,image_23.started,image_19.stopped,instruction_2_3.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,instruction_2_4.started,image_20.started,image_21.started,image_22.started,text_8.started,sound_6.started,key_resp_8.started,instruction_2_4.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,instruction_2_5.started,image_27.started,image_29.started,text_9.started,sound_7.started,image_30.started,key_resp_11.started,instruction_2_5.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,Instructions_3.started,image_49.started,key_resp_16.started,Instructions_3.stopped,key_resp_16.keys,key_resp_16.rt,key_resp_16.duration,inter_trial_interval.started,inter_trial_interval.stopped,ISIcode.started,ISIcode.stopped,ISI,type,fixation.started,fix_1.started,image_33.started,image_34.started,fix_1.stopped,image_33.stopped,image_34.stopped,fixation.stopped,Cue.started,image_38.started,image_36.started,image_37.started,Cue.stopped,Stim.started,image_39.started,image_41.started,image.started,image_2.started,key_resp_2.started,image_39.stopped,Stim.stopped,key_resp_2.keys,key_resp_2.corr,Feedback.started,image_42.started,image_3.started,image_43.started,sound_9.started,Feedback.stopped,UpdateAccuracy.started,UpdateAccuracy.stopped,key_resp_2.rt,key_resp_2.duration,continueStatus.started,key_resp_18.started,continueStatus.stopped,key_resp_18.keys,key_resp_18.rt,key_resp_18.duration,Main_Exp_Instructions.started,key_resp_9.started,Main_Exp_Instructions.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,ISIcode_test.started,ISIcode_test.stopped,编号,主试ID,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06705584900919348,0.06914863298879936,0.06917613302357495,0.13812720199348405,2.5451315990067087,2.5554492750088684,2.6936677619814873,2.6936677619814873,2.6936677619814873,2.6936677619814873,2.576134302013088,2.6936677619814873,4.516798757016659,space,1.7949252960388549,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,2024-06-24_14h07.07.382,Flanker,2023.2.2,79.1120764270106,2024-06-24 14h07.54.077044 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.527846543001942,4.671197007992305,4.671197007992305,4.671197007992305,4.671197007992305,4.5441309429821555,4.671197007992305,6.836514756025281,7.102584813022986,8.82633618399268,z,4.080308424017858,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,2024-06-24_14h07.07.382,Flanker,2023.2.2,79.1120764270106,2024-06-24 14h07.54.077044 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.836692832002882,8.912953193008434,8.912953193008434,8.912953193008434,8.912953193008434,8.850807230011561,8.912953193008434,9.637362190987915,m,0.7144446020247415,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,2024-06-24_14h07.07.382,Flanker,2023.2.2,79.1120764270106,2024-06-24 14h07.54.077044 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.647209240007214,9.801355484989472,9.801355484989472,9.801355484989472,9.801355484989472,9.675315666978713,9.801355484989472,14.948345569020603,15.215388228010852,21.149722031026613,m,11.148552015016321,0.12829048599814996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,2024-06-24_14h07.07.382,Flanker,2023.2.2,79.1120764270106,2024-06-24 14h07.54.077044 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.149752704019193,21.235941184975673,21.235941184975673,21.235941184975673,21.235941184975673,21.17632333500078,21.235941184975673,24.92031068901997,z,3.6823326789890416,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,2024-06-24_14h07.07.382,Flanker,2023.2.2,79.1120764270106,2024-06-24 14h07.54.077044 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.93033452797681,25.0798783400096,25.0798783400096,25.0798783400096,24.945614499005025,25.0798783400096,25.0798783400096,27.373478583001997,space,2.291732543031685,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,2024-06-24_14h07.07.382,Flanker,2023.2.2,79.1120764270106,2024-06-24 14h07.54.077044 +0800,
img/left_arrow.png,img/right_arrow.png,img/congruent_left_empty.png,img/congruent_left.png,z,congruent,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,28.672477881016675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.385712469986174,27.447282655979507,27.447282655979507,28.527208250015974,space,1.073909451952204,None,28.55655784602277,29.34082306898199,29.341003879031632,29.342942529998254,1.1192384769539079,exercise,29.346433924976736,29.47066528000869,29.47066528000869,29.47066528000869,30.700078276975546,30.700078276975546,30.700078276975546,30.58039130200632,30.580478686024435,30.700078276975546,30.700078276975546,30.700078276975546,31.58273603703128,31.58283368399134,32.51159505202668,32.51159505202668,32.51159505202668,32.51159505202668,32.51159505202668,32.623720816976856,41.58761320001213,None,0,41.589703448989894,42.49199836899061,42.49199836899061,42.49199836899061,42.41550496093696,46.582754701026715,46.59199779201299,46.59240804298315,,,,,,,,,,,,,,,,,11,11,2024-06-24_14h07.07.382,Flanker,2023.2.2,79.1120764270106,2024-06-24 14h07.54.077044 +0800,
img/left_arrow.png,img/right_arrow.png,img/congruent_right_empty.png,img/congruent_right.png,m,congruent,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,46.67676337098237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.59276259999024,47.4048322919989,47.40485282801092,47.405494844017085,1.442885771543086,exercise,47.406060502980836,47.43579270702321,47.43579270702321,47.43579270702321,48.90111957699992,48.90111957699992,48.90111957699992,48.87435782398097,48.874386203999165,48.90111957699992,48.90111957699992,48.90111957699992,49.880459827021696,49.88055776502006,51.22903548297472,51.22903548297472,51.22903548297472,51.22903548297472,51.22903548297472,51.34379167499719,56.87851310498081,m,1,56.880407953984104,58.19102267897688,58.19102267897688,58.19102267897688,58.175827862904406,61.896140335011296,61.896178137976676,61.898955608019605,5.645246686995961,None,,,,,,,,,,,,,,,11,11,2024-06-24_14h07.07.382,Flanker,2023.2.2,79.1120764270106,2024-06-24 14h07.54.077044 +0800,
img/left_arrow.png,img/right_arrow.png,img/incongruent_right_empty.png,img/incongruent_right.png,m,incongruent,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,61.921078977989964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.899395071028266,62.70108312898083,62.701105159008875,62.70237117900979,1.4889779559118235,exercise,62.703308778000064,62.72876848600572,62.72876848600572,62.72876848600572,64.2338032660191,64.2338032660191,64.2338032660191,64.20915327197872,64.2091813290026,64.2338032660191,64.2338032660191,64.2338032660191,65.21415913198143,65.21424090099754,66.43942770001013,66.43942770001013,66.43942770001013,66.43942770001013,66.43942770001013,66.55086915497668,67.6085665160208,m,1,67.60920708498452,68.74247697298415,68.74247697298415,68.74247697298415,68.73152726895641,72.62919415102806,72.62922319897916,72.631886993011,1.152171894966159,None,,,,,,,,,,,,,,,11,11,2024-06-24_14h07.07.382,Flanker,2023.2.2,79.1120764270106,2024-06-24 14h07.54.077044 +0800,
img/left_arrow.png,img/right_arrow.png,img/incongruent_left_empty.png,img/incongruent_left.png,z,incongruent,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,72.65589865599759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.6323803330306,73.44596545997774,73.44600033800816,73.44929004297592,1.0581162324649298,exercise,73.45005731203128,73.47310720197856,73.47310720197856,73.47310720197856,74.54208543797722,74.54208543797722,74.54208543797722,74.51834807300474,74.51837205700576,74.54208543797722,74.54208543797722,74.54208543797722,75.52340098202694,75.52342356398003,77.09792584599927,77.09792584599927,77.09792584599927,77.09792584599927,77.09792584599927,77.20113787800074,78.19270179403247,z,1,78.19344496901613,79.4675481430022,79.4675481430022,79.4675481430022,79.45537266194587,83.2102583500091,83.21028732700506,83.21476047899341,1.0907738740206696,None,,,,,,,,,,,,,,,11,11,2024-06-24_14h07.07.382,Flanker,2023.2.2,79.1120764270106,2024-06-24 14h07.54.077044 +0800,
,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.21492578502512,83.28051605803194,84.81708935997449,space,1.5236777639947832,None,,,,,,,,,11,11,2024-06-24_14h07.07.382,Flanker,2023.2.2,79.1120764270106,2024-06-24 14h07.54.077044 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.82761607097927,84.88833127298858,85.87653812899953,space,0.9815555099630728,None,,,11,11,2024-06-24_14h07.07.382,Flanker,2023.2.2,79.1120764270106,2024-06-24 14h07.54.077044 +0800,
img/left_arrow.png,img/right_arrow.png,img/congruent_left_empty.png,img/congruent_left.png,z,congruent,PNblock5.xlsx,,,,,,,,,,,,,0,0,0,4,0,0,0,0,85.94465265597682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.91796035901643,86.69909577799262,,,1.370741482965932,formal,86.70081888599088,86.72602901700884,86.72602901700884,86.72602901700884,88.11409395799274,88.11409395799274,88.11409395799274,88.08708687202306,88.08711348299403,88.11409395799274,88.11409395799274,88.11409395799274,89.09411222400377,89.09414530202048,90.82546308601741,90.82546308601741,90.82546308601741,90.82546308601741,90.82546308601741,90.93095248600002,92.00347341300221,z,1,,,,,,,,,1.1744800350279547,None,,,,,,,,,,,,,86.69911662698723,86.70017541502602,11,11,2024-06-24_14h07.07.382,Flanker,2023.2.2,79.1120764270106,2024-06-24 14h07.54.077044 +0800,
img/left_arrow.png,img/right_arrow.png,img/congruent_left_empty.png,img/congruent_left.png,z,congruent,PNblock5.xlsx,,,,,,,,,,,,,0,0,0,4,0,1,1,1,92.0310794970137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.00474356597988,92.82093250600155,,,1.0771543086172344,formal,92.82316460699076,92.85261454101419,92.85261454101419,92.85261454101419,93.95388260297477,93.95388260297477,93.95388260297477,93.92844909901032,93.92851151298964,93.95388260297477,93.95388260297477,93.95388260297477,94.93950671399944,94.93959951301804,96.23103138699662,96.23103138699662,96.23103138699662,96.23103138699662,96.23103138699662,96.34170576900942,97.80890207801713,z,1,,,,,,,,,1.5734171050135046,None,,,,,,,,,,,,,92.82095454703085,92.82239618402673,11,11,2024-06-24_14h07.07.382,Flanker,2023.2.2,79.1120764270106,2024-06-24 14h07.54.077044 +0800,
img/left_arrow.png,img/right_arrow.png,img/congruent_right_empty.png,img/congruent_right.png,m,congruent,PNblock5.xlsx,,,,,,,,,,,,,0,0,0,4,0,2,2,2,97.83768494002288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.81009200098924,98.61810130800586,,,1.1212424849699398,formal,98.62014948698925,98.64558688999387,98.64558688999387,98.64558688999387,99.79218582197791,99.79218582197791,99.79218582197791,99.76637649600161,99.76640387700172,99.79218582197791,99.79218582197791,99.79218582197791,100.77693986601662,100.77696999901673,102.21914023498539,102.21914023498539,102.21914023498539,102.21914023498539,102.21914023498539,102.33249632897787,102.78465494001284,m,1,,,,,,,,,0.5632989080040716,None,,,,,,,,,,,,,98.61812258302234,98.61957102600718,11,11,2024-06-24_14h07.07.382,Flanker,2023.2.2,79.1120764270106,2024-06-24 14h07.54.077044 +0800,
img/left_arrow.png,img/right_arrow.png,img/incongruent_left_empty.png,img/incongruent_left.png,z,incongruent,PNblock5.xlsx,,,,,,,,,,,,,0,0,0,4,0,3,3,3,102.81343254703097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.78551939001773,103.58996615500655,,,1.1102204408817635,formal,103.592328824976,103.61638229800155,103.61638229800155,103.61638229800155,104.75341646501329,104.75341646501329,104.75341646501329,104.7307009419892,104.73072759801289,104.75341646501329,104.75341646501329,104.75341646501329,105.74010667798575,105.74020059400937,107.12956515297992,107.12956515297992,107.12956515297992,107.12956515297992,107.12956515297992,107.2411666099797,108.02033739100443,z,1,,,,,,,,,0.8885211470187642,None,,,,,,,,,,,,,103.59003416297492,103.59169223700883,11,11,2024-06-24_14h07.07.382,Flanker,2023.2.2,79.1120764270106,2024-06-24 14h07.54.077044 +0800,
,,,,,,PNblock5.xlsx,,,,,,,,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,2024-06-24_14h07.07.382,Flanker,2023.2.2,79.1120764270106,2024-06-24 14h07.54.077044 +0800,
img/left_arrow.png,img/right_arrow.png,img/congruent_right_empty.png,img/congruent_right.png,m,congruent,PNblock7.xlsx,,,,,,,,,,,,,0,1,1,6,0,0,0,0,108.05882676399779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.03525211598026,108.82512883201707,,,1.3807615230460921,formal,108.82749702403089,108.85332025802927,108.85332025802927,108.85332025802927,110.25354272400727,110.25354272400727,110.25354272400727,110.22564725700067,110.22567092202371,110.25354272400727,110.25354272400727,110.25354272400727,111.2265742890304,111.2266643139883,112.5032210770296,112.5032210770296,112.5032210770296,112.5032210770296,112.5032210770296,112.61130404798314,112.90153188898694,m,1,,,,,,,,,0.39645223901607096,None,,,,,,,,,,,,,108.82516958197812,108.82692083198344,11,11,2024-06-24_14h07.07.382,Flanker,2023.2.2,79.1120764270106,2024-06-24 14h07.54.077044 +0800,
img/left_arrow.png,img/right_arrow.png,img/incongruent_right_empty.png,img/incongruent_right.png,m,incongruent,PNblock7.xlsx,,,,,,,,,,,,,0,1,1,6,0,1,1,1,112.92727415799163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.90290556999389,113.71689517900813,,,1.0060120240480963,formal,113.71848059701733,113.74257077398943,113.74257077398943,113.74257077398943,114.77203660999658,114.77203660999658,114.77203660999658,114.74989619501866,114.74992072797613,114.77203660999658,114.77203660999658,114.77203660999658,115.75938180700177,115.75948161497945,117.02293443703093,117.02293443703093,117.02293443703093,117.02293443703093,117.02293443703093,117.12872462300584,117.73151652299566,m,1,,,,,,,,,0.6987989619956352,None,,,,,,,,,,,,,113.71691804000875,113.7177667110227,11,11,2024-06-24_14h07.07.382,Flanker,2023.2.2,79.1120764270106,2024-06-24 14h07.54.077044 +0800,
,,,,,,PNblock7.xlsx,,,,,,,,,,,,,0,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,2024-06-24_14h07.07.382,Flanker,2023.2.2,79.1120764270106,2024-06-24 14h07.54.077044 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,117.7661035900237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.74541262799175,118.53240710298996,,,1.464929859719439,formal,118.533885782992,118.55679088598117,118.55679088598117,118.55679088598117,120.03901084599784,120.03901084599784,120.03901084599784,120.01549549598712,120.01552094198996,120.03901084599784,120.03901084599784,120.03901084599784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.53242533502635,118.53330448502675,,,,,,,,
